"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"1289";"«Ул. 800-летия Москвы», Дмитровское шоссе (1289)";"37.54646366";"55.87886462";"Дмитровское шоссе";"Северный административный округ";"район Восточное Дегунино";"А149; А63; А763; А763К; А843; А994; АТ78";"Ул. 800-летия Москвы";"";"да";"ГУП «Мосгортранс»";"активна";"889086200";"{type=Point, coordinates=[37.54646366, 55.87886462]}";
"1290";"«Яхромская ул.», Дмитровское шоссе (1290)";"37.54392484";"55.88310761";"Дмитровское шоссе";"Северный административный округ";"район Восточное Дегунино";"А149; А63; А763; А763К; А843; А994; АТ78";"Яхромская ул.";"";"нет";"";"активна";"889086201";"{type=Point, coordinates=[37.54392484, 55.88310761]}";
"1291";"«Икшинская ул.», Дмитровское шоссе (1291)";"37.5435549";"55.88549682";"Дмитровское шоссе";"Северный административный округ";"район Восточное Дегунино";"А149; А63; А763; А763К; А843; А994; АТ78";"Икшинская ул.";"";"нет";"";"активна";"889086202";"{type=Point, coordinates=[37.5435549, 55.88549682]}";
"1292";"«К/т Волга», Дмитровское шоссе (1292)";"37.5435346";"55.88872928";"Дмитровское шоссе";"Северный административный округ";"Дмитровский район";"А149; А63; А763; А763К; А843; А994; АТ78";"К/т Волга";"";"да";"ГУП «Мосгортранс»";"активна";"889086203";"{type=Point, coordinates=[37.5435346, 55.88872928]}";
"1293";"«Долгопрудная ул.», Долгопрудная улица (1293)";"37.54019941";"55.89368567";"Долгопрудная улица";"Северный административный округ";"Дмитровский район";"А63";"Долгопрудная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889086204";"{type=Point, coordinates=[37.54019941, 55.89368567]}";
"1294";"«Клязьминская ул.», Клязьминская улица (1294)";"37.52955226";"55.89520855";"Клязьминская улица";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А149; А63";"Ул. Марш. Тухачевского, 61";"";"да";"ГУП «Мосгортранс»";"активна";"889086205";"{type=Point, coordinates=[37.52955226, 55.89520855]}";
"1295";"«Рыбокомбинат», Ижорская улица (1295)";"37.50440769";"55.88502679";"Ижорская улица";"Северный административный округ";"район Западное Дегунино";"А200; А270; А559; А656; А799";"Рыбокомбинат";"";"да";"ГУП «Мосгортранс»";"активна";"889086206";"{type=Point, coordinates=[37.50440769, 55.88502679]}";
"1296";"«Метро Петровско-Разумовская», Дмитровское шоссе (1296)";"37.57308126";"55.83343991";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А466; А692; А82; АМ10; АТ47; АТ56; АТ78";"Метро Петровско-Разумовская";"";"нет";"";"активна";"889086207";"{type=Point, coordinates=[37.57308126, 55.83343991]}";
"1299";"«Просп. Марш. Жукова», Живописная улица (1299)";"37.45435013";"55.77960614";"Живописная улица";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; А60";"Просп. Марш. Жукова";"";"да";"ГУП «Мосгортранс»";"активна";"889086208";"{type=Point, coordinates=[37.45435013, 55.77960614]}";
"1299";"«Просп. Марш. Жукова», Живописная улица (1299)";"37.45435013";"55.77960614";"Живописная улица";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; А60";"Просп. Марш. Жукова";"";"да";"ГУП «Мосгортранс»";"активна";"889086208";"{type=Point, coordinates=[37.45435013, 55.77960614]}";
"1300";"«Ул. Марш. Тухачевского, 61», улица Маршала Тухачевского (1300)";"37.45796404";"55.78384113";"улица Маршала Тухачевского";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; Тб35; А60";"Ул. Марш. Тухачевского, 61";"";"да";"ГУП «Мосгортранс»";"активна";"889086209";"{type=Point, coordinates=[37.45796404, 55.78384113]}";
"1301";"«Кадетский корпус», улица Генерала Глаголева (1301)";"37.46441816";"55.7860577";"улица Генерала Глаголева";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А60";"Кадетский корпус";"";"да";"ГУП «Мосгортранс»";"активна";"889086210";"{type=Point, coordinates=[37.46441816, 55.7860577]}";
"1302";"«Ул. Паршина», улица Паршина (1302)";"37.46070628";"55.78949238";"улица Паршина";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А26; А60";"Ул. Паршина";"";"нет";"";"активна";"889086211";"{type=Point, coordinates=[37.46070628, 55.78949238]}";
"1303";"«Бассейн», улица Паршина (1303)";"37.45489794";"55.78920927";"улица Паршина";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А26; А60";"Бассейн";"";"да";"ГУП «Мосгортранс»";"активна";"889086212";"{type=Point, coordinates=[37.45489794, 55.78920927]}";
"1304";"«Ул. Берзарина», улица Берзарина (1304)";"37.46458797";"55.79035957";"улица Берзарина";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А26";"Ул. Берзарина";"";"да";"ГУП «Мосгортранс»";"активна";"889086213";"{type=Point, coordinates=[37.46458797, 55.79035957]}";
